subject,bases,num_bases
aircraft safety,aircraft|safeti,2
aircrew,aircrew,1
airfield traffic pattern,airfield|pattern|traffic,3
airflow,airflow,1
airfoil,airfoil,1
airframe,airfram,1
airglow,airglow,1
airlifts,airlift,1
airline code sharing,airlin|code|share,3
airline industry,airlin|industri,2
airline scheduling,airlin|schedul,2
airline security,airlin|secur,2
airlines,airlin,1
airlines and airplanes,airlin|airplan,2
"airlines and airplanes; reservations (airlines, hotels, etc); computers and information systems; computer software",airlin|airplan|comput|etc|hotel|inform|reserv|softwar|system,9
airplane,airplan,1
airplane engines,airplan|engin,2
airplane racing,airplan|race,2
airport expansion,airport|expans,2
airport security,airport|secur,2
airport terminals,airport|termin,2
airports,airport,1
airships,airship,1
airspace,airspac,1
airspeed,airspe,1
airway,airway,1
airway management,airway|manag,2
airway systems,airway|system,2
airy function,airi|function,2
aisle,aisl,1
ajmaline,ajmalin,1
aka,aka,1
akaike information criterion,akaik|criterion|inform,3
akkadian,akkadian,1
alanine aminotransferase,alanin|aminotransferas,2
alanine transaminase,alanin|transaminas,2
alarm,alarm,1
alarm systems,alarm|system,2
alarms,alarm,1
albatross,albatross,1
albendazole,albendazol,1
alberta,alberta,1
albinism,albin,1
albizia,albizia,1
albumin,albumin,1
alchemy,alchemi,1
alcohol,alcohol,1
alcohol abuse,abus|alcohol,2
alcohol education,alcohol|educ,2
alcohol industry,alcohol|industri,2
alcohol use,alcohol|use,2
alcoholic beverages,alcohol|beverag,2
alcoholics anonymous,alcohol|anonym,2
alcoholism,alcohol,1
aldehydes,aldehyd,1
alder,alder,1
aldosterone,aldosteron,1
aleph,aleph,1
alertness,alert,1
alexithymia,alexithymia,1
algae,alga,1
algebra,algebra,1
algebra over a field,algebra|field,2
algebraic combinatorics,algebra|combinator,2
algebraic curve,algebra|curv,2
algebraic geometry,algebra|geometri,2
algebraic number,algebra|number,2
algebraic number field,algebra|field|number,3
algebraic properties,algebra|properti,2
algebraic structure,algebra|structur,2
algebraically closed field,algebra|close|field,3
alginic acid,acid|algin,2
algorism,algor,1
algorithm design,algorithm|design,2
algorithmic complexity,algorithm|complex,2
algorithmic trading,algorithm|trade,2
algorithmics,algorithm,1
algorithms,algorithm,1
alias,alia,1
alibi,alibi,1
alice (programming language),alic|languag|program,3
alicyclic compound,alicycl|compound,2
alienation,alien,1
alimentary tract,alimentari|tract,2
alimony,alimoni,1
alimony & palimony,alimoni|palimoni,2
alizarin,alizarin,1
alkali metal,alkali|metal,2
alkalies,alkali,1
alkalinity,alkalin,1
alkaloid,alkaloid,1
alkaptonuria,alkaptonuria,1
alkyl,alkyl,1
all star games,game|star,2
all terrain bicycles,bicycl|terrain,2
all terrain vehicles,terrain|vehicl,2
allantoin,allantoin,1
allegation,alleg,1
allegory,allegori,1
allen–cahn equation,allen|cahn|equat,3
allergens,allergen,1
allergic dermatitis,allerg|dermat,2
allergies,allergi,1
allergy,allergi,1
alley,alley,1
alliance,allianc,1
alliances,allianc,1
allicin,allicin,1
alligator,allig,1
alligators,allig,1
allium,allium,1
allium sativum,allium|sativum,2
allocative efficiency,alloc|effici,2
allocator,alloc,1
allometry,allometri,1
allopurinol,allopurinol,1
allostasis,allostasi,1
allostatic load,allostat|load,2
allotment,allot,1
allowance (engineering),allow|engin,2
alloy,alloy,1
alloys,alloy,1
allusion,allus,1
alluvial plain,alluvi|plain,2
alluvium,alluvium,1
allyl bromide,allyl|bromid,2
almanacs,almanac,1
almeria,almeria,1
almost everywhere,,0
almost periodic function,function|period,2
aloe vera,alo|vera,2
alopecia,alopecia,1
alopecia areata,alopecia|areata,2
alpacas,alpaca,1
alpha 1-antitrypsin deficiency,alpha|antitrypsin|defici,3
alpha decay,alpha|decay,2
alpha particle,alpha|particl,2
alphabet,alphabet,1
alphabets,alphabet,1
alphanumeric,alphanumer,1
alpine climate,alpin|climat,2
