min_share,max_share,year,run,V_t,E_t,n_core,R_t,S_t,H_t,Q_cp,C_t
0.0,1.0,2000,5,4773,148599,1671,0.3500942803268385,565,0.05779694517772642,0.41577412512083695,0.6163973668462
0.0,1.0,2001,5,4686,142828,1600,0.3414425949637217,539,0.06419765624999998,0.41312630995549715,0.588125
0.0,1.0,2002,5,4798,140577,1752,0.3651521467278033,582,0.07119782218886181,0.40585575880066876,0.6170091324200913
0.0,1.0,2003,5,4886,136538,1681,0.34404420794105606,526,0.06978120230267176,0.4007083169577689,0.5960737656157049
0.0,1.0,2004,5,5191,159913,1761,0.3392409940281256,595,0.07272628188322866,0.4069629962928637,0.6030664395229983
0.0,1.0,2005,5,5330,163850,1887,0.35403377110694184,629,0.06888708590756663,0.40675491706025685,0.6142024377318496
0.0,1.0,2006,5,5376,162408,1897,0.3528645833333333,680,0.07988558912624294,0.4028044212336049,0.5846072746441751
0.0,1.0,2007,5,6124,242939,2130,0.3478118876551274,686,0.0893751239833366,0.39606584997840244,0.6309859154929578
0.0,1.0,2008,5,6388,292971,2233,0.3495616781465247,652,0.09278383182362676,0.3935566465896889,0.593819973130318
0.0,1.0,2009,5,6142,247685,2128,0.3464669488765874,634,0.0948444301543332,0.3915794154420401,0.5681390977443609
0.0,1.0,2010,5,5716,191704,1987,0.34762071378586423,613,0.08629240541628287,0.3961107683994099,0.5888273779567187
0.0,1.0,2011,5,5647,178568,1956,0.34637860811050114,643,0.0863474977103642,0.39518930088888704,0.5741308793456033
0.0,1.0,2012,5,5826,185481,1988,0.3412289735667697,593,0.08860709528802596,0.395595456472263,0.5960764587525151
0.0,1.0,2013,5,6028,188732,1917,0.31801592568015924,574,0.09778880396115365,0.39593735380657913,0.5764214919144497
0.0,1.0,2014,5,6058,188323,1993,0.3289864641795972,662,0.09239588937598704,0.39727893506271095,0.6086302057200201
0.0,1.0,2015,5,6044,190686,2013,0.3330575777630708,652,0.09187598049340984,0.39865593130279947,0.5916542473919524
0.0,1.0,2016,5,6445,224801,2084,0.3233514352211016,691,0.08504564527834785,0.40316793030440834,0.6137236084452975
0.0,1.0,2017,5,7748,301745,2405,0.3104026845637584,796,0.08113121917695727,0.4130229402636847,0.6407484407484407
0.0,1.0,2018,5,7419,290091,2330,0.3140584984499259,860,0.08236843559468766,0.41028280577097354,0.6008583690987124
0.0,1.0,2019,5,8004,361916,2615,0.32671164417791104,834,0.07236278420204072,0.41666221183523905,0.617208413001912
0.0,1.0,2020,5,7525,328984,2216,0.29448504983388707,785,0.07900492317116087,0.4188536013268167,0.5767148014440433
0.0,1.0,2021,5,7175,354750,2162,0.3013240418118467,706,0.08264266906049406,0.4165701942166147,0.5883441258094357
